"x.1","x.2","y"
0.365,0.708,0
0.543,-0.268,0
-0.401,0.643,0
0.866,-0.796,0
-0.386,0.742,0
-0.443,0.615,0
-0.519,0.818,0
0.332,-0.211,0
0.211,-0.237,0
-0.208,-0.656,0
-0.028,0.044,0
-0.271,0.005,0
0.159,-0.739,0
0.162,-0.53,0
-0.518,0.263,0
0.745,-0.355,0
-1.151,1.133,0
0.686,-0.664,0
-1.221,0.962,0
0.128,-0.063,0
1.001,-0.956,0
-0.807,1.015,0
-1.335,0.651,0
0.669,-0.02,0
-0.207,0.081,0
0.728,-0.72,0
0.822,-0.753,0
-0.111,-0.414,0
0.083,0.373,0
0.211,-0.617,0
0.484,-0.436,0
-1.071,0.465,0
0.644,-0.401,0
-0.702,0.554,0
-0.032,-0.021,0
0.204,-0.246,0
-0.28,0.928,0
-0.143,0.207,0
-0.077,0.138,0
0.037,0.213,0
-0.094,-0.715,0
-0.539,0.039,0
-0.135,-0.332,0
-0.49,0.541,0
-0.291,0.087,0
1.09,-0.778,0
0.528,-0.273,0
0.323,-0.225,0
0.793,-0.926,0
-0.679,0.607,0
-0.218,0.283,0
-0.012,0.12,0
0.8,-0.554,0
0.364,-0.863,0
-0.465,0.142,0
0.562,-0.787,0
-0.558,0.422,0
-0.307,-0.238,0
-0.577,0.789,0
-0.703,0.685,0
0.474,-0.221,0
1.205,-0.912,0
0.774,-0.583,0
-0.758,0.926,0
-0.159,-0.027,0
0.896,-0.498,0
0.152,-0.118,0
0.391,-0.104,0
0.157,-0.051,0
-0.529,-0.001,0
-0.051,0.017,0
0.203,-0.192,0
0.018,0.713,0
-0.168,0.419,0
0.283,0.125,0
-0.034,0.122,0
-0.293,-0.554,0
-0.166,0.173,0
0.401,-0.547,0
0.473,0.233,0
-0.212,0.619,0
0.096,0.652,0
0.068,-0.32,0
-0.347,0.693,0
0.867,-0.405,0
0.007,-0.482,0
-0.459,-0.021,0
0.248,-0.371,0
0.765,-0.742,0
0.365,-1.032,0
0.071,-0.201,0
-0.42,0.111,0
-0.502,0.459,0
0.004,0.123,0
0.067,0.366,0
0.173,-0.679,0
-0.761,0.525,0
-0.219,0.301,0
-0.181,0.371,0
-0.005,-0.446,0
-0.283,0.94,1
-0.44,1.068,1
0.783,0.268,1
1.326,0.109,1
0.489,-0.663,1
1.203,-0.238,1
0.571,0.227,1
1.009,0.456,1
0.465,0.224,1
0.519,0.794,1
0.373,0.303,1
0.94,0.103,1
0.167,0.422,1
0.669,0.955,1
0.303,1.007,1
1.354,0.535,1
0.78,0.109,1
0.713,0.177,1
0.342,0.654,1
0.77,0.292,1
1.253,0.007,1
0.473,0.509,1
0.489,0.407,1
0.665,0.037,1
0.195,0.703,1
0.076,1.015,1
0.947,0.152,1
-0.017,0.625,1
-0.194,0.785,1
1.118,0.37,1
-0.23,0.892,1
1.099,0.73,1
0.917,0.643,1
0.432,0.987,1
2.059,-0.423,1
1.1,-0.335,1
0.528,0.436,1
1.042,0.249,1
0.384,0.568,1
0.348,0.58,1
0.573,0.777,1
0.11,0.936,1
0.614,0.777,1
0.47,0.127,1
1.436,-0.789,1
-0.179,0.654,1
0.315,0.635,1
1.014,-0.12,1
-0.019,0.781,1
0.259,1.185,1
0.334,1.324,1
0.139,0.146,1
0.767,0.325,1
-0.091,0.459,1
0.549,1.173,1
-0.308,0.33,1
-0.168,1.61,1
1.29,-0.109,1
0.297,0.895,1
0.784,0.008,1
0.143,0.983,1
0.361,0.601,1
-0.104,0.996,1
0.072,0.23,1
0.642,0.456,1
0.575,0.089,1
1.053,-0.061,1
0.455,-0.196,1
0.018,0.84,1
0.228,0.537,1
0.127,0.689,1
0.12,0.577,1
0.577,0.272,1
0.114,0.388,1
0.716,0.398,1
0.461,0.968,1
-0.189,1.483,1
-0.106,0.921,1
0.074,0.267,1
0.515,0.592,1
0.117,0.869,1
0.488,-0.039,1
0.165,1.338,1
-0.259,1.247,1
0.305,1.107,1
2.019,-0.947,1
0.87,-0.399,1
0.831,-0.006,1
-0.289,1.468,1
0.772,0.996,1
0.578,0.298,1
0.189,0.744,1
0.415,0.847,1
0.246,0.988,1
0.232,0.825,1
0.784,0.616,1
0.411,-0.005,1
0.93,0.225,1
1.288,0.184,1
0.11,1.114,1
